Grain #,,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
86,,3.0850000000000004,1.9819041337834626,-40.61183578276749,3.1241380014127866,1.4133851154385648,8.60477272147525,86.0,199.99108589951376,220.0
87,,1.8575000000000004,1.5378694529593744,0.6963305474782989,2.1153308898506236,1.1444160697473391,6.157716446627535,109.0,210.9192462987887,229.0
88,,4.3325000000000005,2.3486826791980846,-1.0359792075211118,2.7150960267663717,2.070740767435184,8.585533905932737,95.0,205.30582804385458,235.0
89,,2.3675000000000006,1.7362012044001405,15.945071315758465,3.3360059455603963,1.1940984728922872,8.934062043356596,122.0,203.94720168954592,235.0
90,,4.115000000000001,2.2889693590315257,-84.85879795786575,3.4015790706032853,1.674454821714085,10.558326112068523,93.0,205.83049817739976,230.0
91,,6.882500000000001,2.9602484974474286,-1.0473164540688193,3.7383552428122124,2.710554213592128,14.705687219636733,85.0,199.99382491827097,216.0
92,,5.330000000000001,2.605065598682386,33.1252040529871,4.3543916073593225,1.5875737310948423,10.772539674441617,86.0,203.39493433395873,225.0
93,,16.160000000000004,4.536028113109555,30.963149368480284,6.307513664189958,3.7680760424251476,22.42198231002696,76.0,213.03434405940595,233.0
94,,2.7450000000000006,1.8695032897264507,-83.1317852254929,2.250006203356587,1.64694440827505,7.211269837220809,72.0,193.5865209471767,220.0
95,,18.567500000000003,4.862188318737782,7.424676002821088,7.671514792399002,3.7269991794991806,24.657516215959696,105.0,214.8004577891477,234.0
96,,12.102500000000003,3.925478517347574,51.92832694235303,5.533641544176747,2.9726971240245597,16.555687219636734,123.0,214.17455071266266,248.0
97,,1.7600000000000002,1.4969641274038221,-26.48024187756709,1.748009436061754,1.3165501784940776,5.400609665440988,94.0,198.3963068181818,215.0
98,,25.567500000000006,5.7055720186512655,-55.75979581298214,7.831328479855249,4.931644582153631,32.93416664540925,93.0,208.18128483426224,224.0
99,,27.157500000000006,5.880306364139983,87.06230999790657,8.28811976744895,4.846165774676338,31.088582233137675,91.0,202.6095001380834,236.0
100,,0.04750000000000001,0.24592453796829675,-5.4770332800893105,0.28690275245654834,0.217547006022911,0.7414213562373096,213.0,215.47368421052633,219.0
101,,1.5625000000000002,1.4104739588693909,72.46034412876325,1.9153991687393663,1.1816188145051456,6.831980515339464,132.0,205.6048,224.0
102,,2.5025000000000004,1.7850159553067713,-64.27456204843806,2.4825787042841228,1.3979048999967907,7.534062043356596,102.0,196.8111888111888,236.0
103,,3.937500000000001,2.2390579955406924,-82.84780322111904,2.75890606710186,2.1100111524528584,8.97695526217005,113.0,205.13396825396825,216.0
104,,6.132500000000001,2.7943051923668585,-67.35776776532826,3.3615747062009884,2.4767056636368543,10.703300858899107,105.0,209.22706889523033,231.0
105,,4.0025,2.257463461011604,54.10084040441568,2.846652132587987,1.8424606258178167,8.466904755831214,98.0,207.97626483447846,239.0
106,,5.770000000000001,2.7104597715372734,-86.39017427392564,3.0245862735870808,2.485194618539586,10.235838738653232,93.0,201.82755632582322,227.0
107,,3.6800000000000006,2.164606551922404,-9.721810212289427,3.944949997386858,1.3374281078896002,10.805077554195744,70.0,207.06521739130434,232.0
108,,9.212500000000002,3.424867779327063,52.84972204039668,4.866666285006119,2.490223549796621,14.000966799187811,90.0,207.43934871099052,234.0
109,,6.4525000000000015,2.8662829871461817,20.34433331085837,4.7240319100797725,2.194052192943799,14.09680374315355,101.0,202.19527314994187,229.0
110,,3.795000000000001,2.198168344843029,83.61275292061254,3.567827552607902,1.7710385821911823,11.355077554195745,77.0,203.56192358366272,237.0
111,,6.590000000000002,2.896661630188228,-4.554472039753503,3.705682390170582,2.35517868817084,11.253300858899108,122.0,211.88163884673747,232.0
112,,2.3975000000000004,1.7471667947000804,65.06081281536028,2.2576885627208316,1.496238556877611,7.847665940288703,99.0,205.46298227320125,229.0
113,,3.1750000000000007,2.010605768054529,-11.764771146083657,2.974683462900126,1.5403106828643134,9.525483399593904,142.0,202.90708661417324,227.0
114,,3.4950000000000006,2.109495723828184,5.6470246105877795,3.578323860381457,1.3704250884869253,9.416295090390227,145.0,205.00071530758225,220.0
